prompt_tokens,completion_tokens,total_tokens,provider,timestamp
1950,1490,3440,gemini,2024-10-27T16:50:24.871884
2422,871,3293,gemini,2024-10-27T16:50:29.990165
1772,889,2661,gemini,2024-10-27T16:50:35.014603
1778,1195,2973,gemini,2024-10-27T16:50:40.216635
2109,745,2854,gemini,2024-10-27T16:50:44.537893
1732,671,2403,gemini,2024-10-27T16:50:48.418901
1635,1185,2820,gemini,2024-10-27T16:50:54.772450
2077,476,2553,gemini,2024-10-27T16:50:57.955364
1435,1157,2592,gemini,2024-10-27T16:51:04.990220
2023,1341,3364,gemini,2024-10-27T16:51:11.782440
2241,1619,3860,gemini,2024-10-27T16:51:18.730987
2710,461,3171,gemini,2024-10-27T16:51:21.814842
1542,898,2440,gemini,2024-10-27T16:51:27.506759
1827,1241,3068,gemini,2024-10-27T16:51:32.977097
2412,1625,4037,gemini,2024-10-27T16:51:39.787720
2508,960,3468,gemini,2024-10-27T16:51:44.801041
1877,1581,3458,gemini,2024-10-27T16:51:51.816365
2496,1959,4455,gemini,2024-10-27T16:51:59.904627
2822,2277,5099,gemini,2024-10-27T16:52:09.221402
3279,2442,5721,gemini,2024-10-27T16:52:19.154545
3342,2632,5974,gemini,2024-10-27T16:52:29.491933
3615,2891,6506,gemini,2024-10-27T16:52:40.566182
3837,969,4806,gemini,2024-10-27T16:52:45.881544
1935,1181,3116,gemini,2024-10-27T16:52:51.193231
2157,1414,3571,gemini,2024-10-27T16:52:57.403551
2302,1471,3773,gemini,2024-10-27T16:53:04.315729
2452,1734,4186,gemini,2024-10-27T16:53:11.274007
2943,2242,5185,gemini,2024-10-27T16:53:20.397845
3395,1490,4885,gemini,2024-10-27T16:53:27.151963
2541,1772,4313,gemini,2024-10-27T16:53:33.915236
2743,1982,4725,gemini,2024-10-27T16:53:41.762304
3101,2349,5450,gemini,2024-10-27T16:53:51.288922
3488,1630,5118,gemini,2024-10-27T16:53:58.418770
2577,411,2988,gemini,2024-10-27T16:54:01.113342
1357,376,1733,gemini,2024-10-27T16:54:05.088427
1291,449,1740,gemini,2024-10-27T16:54:09.326542
1424,462,1886,gemini,2024-10-27T16:54:13.324854
1484,443,1927,gemini,2024-10-27T16:54:17.115889
1395,445,1840,gemini,2024-10-27T16:54:21.115567
1372,777,2149,gemini,2024-10-27T16:54:26.961226
1695,918,2613,gemini,2024-10-27T16:54:31.781956
1923,990,2913,gemini,2024-10-27T16:54:36.880500
2280,1181,3461,gemini,2024-10-27T16:54:41.993083
2091,386,2477,gemini,2024-10-27T16:54:44.668956
1272,370,1642,gemini,2024-10-27T16:54:48.759435
1434,635,2069,gemini,2024-10-27T16:54:53.924305
1687,967,2654,gemini,2024-10-27T16:54:59.566398
1965,683,2648,gemini,2024-10-27T16:55:04.108047
1549,800,2349,gemini,2024-10-27T16:55:08.325784
1774,991,2765,gemini,2024-10-27T16:55:13.548723
1915,1146,3061,gemini,2024-10-27T16:55:18.971645
2100,1106,3206,gemini,2024-10-27T16:55:23.925830
2126,1525,3651,gemini,2024-10-27T16:55:30.340614
2506,1859,4365,gemini,2024-10-27T16:55:37.703785
2871,1878,4749,gemini,2024-10-27T16:55:45.906261
2759,1395,4154,gemini,2024-10-27T16:55:52.457215
2336,1558,3894,gemini,2024-10-27T16:55:58.833691
2497,1895,4392,gemini,2024-10-27T16:56:07.002017
2916,2216,5132,gemini,2024-10-27T16:56:16.014150
3102,412,3514,gemini,2024-10-27T16:56:19.088312
1385,845,2230,gemini,2024-10-27T16:56:24.922795
1688,874,2562,gemini,2024-10-27T16:56:29.532049
1815,1171,2986,gemini,2024-10-27T16:56:34.637314
2170,1318,3488,gemini,2024-10-27T16:56:40.690356
2276,1527,3803,gemini,2024-10-27T16:56:47.351156
2410,1769,4179,gemini,2024-10-27T16:56:54.608549
2841,1943,4784,gemini,2024-10-27T16:57:02.492977
2929,2182,5111,gemini,2024-10-27T16:57:11.620871
3149,2360,5509,gemini,2024-10-27T16:57:20.520368
3163,2589,5752,gemini,2024-10-27T16:57:30.764638
3403,2966,6369,gemini,2024-10-27T16:57:42.023724
3823,3263,7086,gemini,2024-10-27T16:57:54.321019
4157,2135,6292,gemini,2024-10-27T16:58:03.422846
3042,1449,4491,gemini,2024-10-27T16:58:10.491618
2328,1631,3959,gemini,2024-10-27T16:58:17.447691
2498,1534,4032,gemini,2024-10-27T16:58:24.116866
2418,1763,4181,gemini,2024-10-27T16:58:31.277002
2641,755,3396,gemini,2024-10-27T16:58:35.579592
1675,941,2616,gemini,2024-10-27T16:58:40.298738
1808,838,2646,gemini,2024-10-27T16:58:44.189543
1701,946,2647,gemini,2024-10-27T16:58:48.999473
1800,971,2771,gemini,2024-10-27T16:58:54.294433
1826,861,2687,gemini,2024-10-27T16:58:58.834871
1746,1064,2810,gemini,2024-10-27T16:59:03.745903
2141,1358,3499,gemini,2024-10-27T16:59:09.788323
2311,912,3223,gemini,2024-10-27T16:59:14.777164
1775,988,2763,gemini,2024-10-27T16:59:19.516559
2098,1300,3398,gemini,2024-10-27T16:59:25.355470
2456,1588,4044,gemini,2024-10-27T16:59:31.944572
2791,661,3452,gemini,2024-10-27T16:59:36.305253
1811,934,2745,gemini,2024-10-27T16:59:41.435321
2052,1140,3192,gemini,2024-10-27T16:59:46.857415
2068,1375,3443,gemini,2024-10-27T16:59:53.227327
2382,1571,3953,gemini,2024-10-27T16:59:59.562411
2494,1825,4319,gemini,2024-10-27T17:00:07.429809
2800,2247,5047,gemini,2024-10-27T17:00:16.644546
3224,2753,5977,gemini,2024-10-27T17:00:27.613356
3677,947,4624,gemini,2024-10-27T17:00:32.838552
1785,1051,2836,gemini,2024-10-27T17:00:38.061073
1941,827,2768,gemini,2024-10-27T17:00:43.187219
1710,1018,2728,gemini,2024-10-27T17:00:48.502018
1880,1303,3183,gemini,2024-10-27T17:00:54.450089
2171,642,2813,gemini,2024-10-27T17:00:58.534403
1488,679,2167,gemini,2024-10-27T17:01:02.314143
1585,1029,2614,gemini,2024-10-27T17:01:07.349543
1944,612,2556,gemini,2024-10-27T17:01:11.026149
1524,1090,2614,gemini,2024-10-27T17:01:18.003410
1898,1244,3142,gemini,2024-10-27T17:01:23.930396
2065,1247,3312,gemini,2024-10-27T17:01:30.292784
2306,1047,3353,gemini,2024-10-27T17:01:35.711426
2496,2053,4549,gemini,2024-10-27T17:01:44.009063
3099,2629,5728,gemini,2024-10-27T17:01:54.360470
3469,2991,6460,gemini,2024-10-27T17:02:05.453950
